json,layer,zPos,images
facial_monocle_left_frame,layer_1,115,facial/monocle/left/frame/adult/ facial/monocle/left/frame/adult/ facial/monocle/left/frame/adult/ facial/monocle/left/frame/adult/ facial/monocle/left/frame/child/
facial_monocle_right,layer_1,115,facial/monocle/right/adult/ facial/monocle/right/adult/ facial/monocle/right/adult/ facial/monocle/right/adult/ facial/monocle/right/child/
facial_monocle_right_frame,layer_1,115,facial/monocle/right/frame/adult/ facial/monocle/right/frame/adult/ facial/monocle/right/frame/adult/ facial/monocle/right/frame/adult/ facial/monocle/right/frame/child/
feet_armour,layer_1,15,feet/armour/plate/male/ feet/armour/plate/female/ feet/armour/plate/male/ feet/armour/plate/female/
feet_boots_basic,layer_1,25,feet/boots/basic/male/ feet/boots/basic/thin/ feet/boots/basic/male/ feet/boots/basic/thin/
feet_boots_fold,layer_1,25,feet/boots/fold/male/ feet/boots/fold/thin/ feet/boots/fold/male/ feet/boots/fold/thin/
feet_boots_revised,layer_1,25,feet/boots/revised/male/ feet/boots/revised/thin/ feet/boots/revised/male/ feet/boots/revised/thin/
feet_boots_rim,layer_1,25,feet/boots/rimmed/male/ feet/boots/rimmed/thin/ feet/boots/rimmed/male/ feet/boots/rimmed/thin/
feet_hoofs,layer_1,15,feet/hoofs/male/ feet/hoofs/female/ feet/hoofs/male/ feet/hoofs/female/
feet_plate_toe,layer_1,27,feet/accessory/plate_toe/male/ feet/accessory/plate_toe/thin/ feet/accessory/plate_toe/male/ feet/accessory/plate_toe/thin/
feet_plate_toe_thick,layer_1,27,feet/accessory/plate_toe_thick/male/ feet/accessory/plate_toe_thick/thin/ feet/accessory/plate_toe_thick/male/ feet/accessory/plate_toe_thick/thin/
feet_sandals,layer_1,15,feet/sandals/male/ feet/sandals/thin/ feet/sandals/male/ feet/sandals/thin/
feet_shoes_basic,layer_1,15,feet/shoes/basic/male/ feet/shoes/basic/thin/ feet/shoes/basic/male/ feet/shoes/basic/thin/
feet_shoes_ghillies,layer_1,15,feet/shoes/ghillies/male/ feet/shoes/ghillies/thin/ feet/shoes/ghillies/male/ feet/shoes/ghillies/thin/
feet_shoes_revised,layer_1,15,feet/shoes/revised/male/ feet/shoes/revised/thin/ feet/shoes/revised/male/ feet/shoes/revised/thin/
feet_shoes_sara,layer_1,15,feet/shoes/sara/male/ feet/shoes/sara/thin/ feet/shoes/sara/male/ feet/shoes/sara/thin/
feet_slippers,layer_1,15,feet/slippers/male/ feet/slippers/thin/ feet/slippers/male/ feet/slippers/thin/
feet_socks_ankle,layer_1,14,feet/socks/ankle/male/ feet/socks/ankle/thin/ feet/socks/ankle/thin/
feet_socks_high,layer_1,14,feet/socks/high/male/ feet/socks/high/thin/ feet/socks/high/thin/
feet_socks_tabi,layer_1,14,feet/socks/tabi/male/ feet/socks/tabi/thin/ feet/socks/tabi/male/ feet/socks/tabi/thin/
hair_afro,layer_1,120,hair/afro/adult/ hair/afro/adult/ hair/afro/adult/ hair/afro/adult/
hair_balding,layer_1,120,hair/balding/adult/ hair/balding/adult/ hair/balding/adult/ hair/balding/adult/
hair_bangs,layer_1,120,hair/bangs/adult/ hair/bangs/adult/ hair/bangs/adult/ hair/bangs/adult/
hair_bangs_bun,layer_1,120,hair/bangs_bun/adult/ hair/bangs_bun/adult/ hair/bangs_bun/adult/ hair/bangs_bun/adult/
hair_bangslong,layer_1,120,hair/bangslong/adult/ hair/bangslong/adult/ hair/bangslong/adult/ hair/bangslong/adult/
hair_bangslong2,layer_1,120,hair/bangslong2/adult/fg/ hair/bangslong2/adult/fg/ hair/bangslong2/adult/fg/ hair/bangslong2/adult/fg/
hair_bangslong2,layer_2,9,hair/bangslong2/adult/bg/ hair/bangslong2/adult/bg/ hair/bangslong2/adult/bg/ hair/bangslong2/adult/bg/
hair_bangsshort,layer_1,120,hair/bangsshort/adult/ hair/bangsshort/adult/ hair/bangsshort/adult/ hair/bangsshort/adult/
hair_bedhead,layer_1,120,hair/bedhead/adult/ hair/bedhead/adult/ hair/bedhead/adult/ hair/bedhead/adult/
hair_bob,layer_1,120,hair/bob/adult/ hair/bob/adult/ hair/bob/adult/ hair/bob/adult/
hair_bob_side_part,layer_1,120,hair/bob_side_part/adult/ hair/bob_side_part/adult/ hair/bob_side_part/adult/ hair/bob_side_part/adult/
hair_braid,layer_1,120,hair/braid/adult/fg/ hair/braid/adult/fg/ hair/braid/adult/fg/ hair/braid/adult/fg/
hair_braid,layer_2,9,hair/braid/adult/bg/ hair/braid/adult/bg/ hair/braid/adult/bg/ hair/braid/adult/bg/
hair_braid2,layer_1,120,hair/braid2/adult/fg/ hair/braid2/adult/fg/ hair/braid2/adult/fg/ hair/braid2/adult/fg/
hair_braid2,layer_2,9,hair/braid2/adult/bg/ hair/braid2/adult/bg/ hair/braid2/adult/bg/ hair/braid2/adult/bg/
hair_bunches,layer_1,120,hair/bunches/adult/fg/ hair/bunches/adult/fg/ hair/bunches/adult/fg/ hair/bunches/adult/fg/
hair_bunches,layer_2,9,hair/bunches/adult/bg/ hair/bunches/adult/bg/ hair/bunches/adult/bg/ hair/bunches/adult/bg/
hair_buzzcut,layer_1,120,hair/buzzcut/adult/ hair/buzzcut/adult/ hair/buzzcut/adult/ hair/buzzcut/adult/
hair_cornrows,layer_1,120,hair/cornrows/adult/ hair/cornrows/adult/ hair/cornrows/adult/ hair/cornrows/adult/
hair_cowlick,layer_1,120,hair/cowlick/adult/ hair/cowlick/adult/ hair/cowlick/adult/ hair/cowlick/adult/
hair_cowlick_tall,layer_1,120,hair/cowlick_tall/adult/ hair/cowlick_tall/adult/ hair/cowlick_tall/adult/ hair/cowlick_tall/adult/
hair_curls_large,layer_1,120,hair/curls_large/adult/fg/ hair/curls_large/adult/fg/ hair/curls_large/adult/fg/ hair/curls_large/adult/fg/
hair_curls_large,layer_2,9,hair/curls_large/adult/bg/ hair/curls_large/adult/bg/ hair/curls_large/adult/bg/ hair/curls_large/adult/bg/
hair_curls_large_xlong,layer_1,120,hair/curls_large_xlong/adult/fg/ hair/curls_large_xlong/adult/fg/ hair/curls_large_xlong/adult/fg/ hair/curls_large_xlong/adult/fg/
hair_curls_large_xlong,layer_2,9,hair/curls_large_xlong/adult/bg/ hair/curls_large_xlong/adult/bg/ hair/curls_large_xlong/adult/bg/ hair/curls_large_xlong/adult/bg/
hair_curly_long,layer_1,120,hair/curly_long/adult/ hair/curly_long/adult/ hair/curly_long/adult/ hair/curly_long/adult/
hair_curly_short,layer_1,120,hair/curly_short/adult/ hair/curly_short/adult/ hair/curly_short/adult/ hair/curly_short/adult/
hair_curly_short2,layer_1,120,hair/curly_short2/adult/ hair/curly_short2/adult/ hair/curly_short2/adult/ hair/curly_short2/adult/
hair_curtains,layer_1,120,hair/curtains/adult/ hair/curtains/adult/ hair/curtains/adult/ hair/curtains/adult/
hair_curtains_long,layer_1,120,hair/curtains_long/adult/ hair/curtains_long/adult/ hair/curtains_long/adult/ hair/curtains_long/adult/
hair_dreadlocks_long,layer_1,120,hair/dreadlocks_long/adult/ hair/dreadlocks_long/adult/ hair/dreadlocks_long/adult/ hair/dreadlocks_long/adult/
hair_dreadlocks_short,layer_1,120,hair/dreadlocks_short/adult/ hair/dreadlocks_short/adult/ hair/dreadlocks_short/adult/ hair/dreadlocks_short/adult/
hair_flat_top_fade,layer_1,120,hair/flat_top_fade/adult/ hair/flat_top_fade/adult/ hair/flat_top_fade/adult/ hair/flat_top_fade/adult/
hair_flat_top_straight,layer_1,120,hair/flat_top_straight/adult/ hair/flat_top_straight/adult/ hair/flat_top_straight/adult/ hair/flat_top_straight/adult/
hair_half_up,layer_1,120,hair/half_up/adult/ hair/half_up/adult/ hair/half_up/adult/ hair/half_up/adult/
hair_halfmessy,layer_1,120,hair/halfmessy/adult/ hair/halfmessy/adult/ hair/halfmessy/adult/ hair/halfmessy/adult/
hair_high_and_tight,layer_1,120,hair/high_and_tight/adult/ hair/high_and_tight/adult/ hair/high_and_tight/adult/ hair/high_and_tight/adult/
hair_high_ponytail,layer_1,120,hair/high_ponytail/adult/fg/ hair/high_ponytail/adult/fg/ hair/high_ponytail/adult/fg/ hair/high_ponytail/adult/fg/
hair_high_ponytail,layer_2,9,hair/high_ponytail/adult/bg/ hair/high_ponytail/adult/bg/ hair/high_ponytail/adult/bg/ hair/high_ponytail/adult/bg/
hair_idol,layer_1,120,hair/idol/adult/ hair/idol/adult/ hair/idol/adult/ hair/idol/adult/
hair_jewfro,layer_1,120,hair/jewfro/adult/ hair/jewfro/adult/ hair/jewfro/adult/ hair/jewfro/adult/ hair/jewfro/child/
hair_lob,layer_1,120,hair/lob/adult/ hair/lob/adult/ hair/lob/adult/ hair/lob/adult/
hair_long,layer_1,120,hair/long/adult/ hair/long/adult/ hair/long/adult/ hair/long/adult/
hair_long_band,layer_1,120,hair/long_band/adult/fg/ hair/long_band/adult/fg/ hair/long_band/adult/fg/ hair/long_band/adult/fg/
hair_long_band,layer_2,9,hair/long_band/adult/bg/ hair/long_band/adult/bg/ hair/long_band/adult/bg/ hair/long_band/adult/bg/
hair_long_center_part,layer_1,120,hair/long_center_part/adult/fg/ hair/long_center_part/adult/fg/ hair/long_center_part/adult/fg/ hair/long_center_part/adult/fg/
hair_long_center_part,layer_2,9,hair/long_center_part/adult/bg/ hair/long_center_part/adult/bg/ hair/long_center_part/adult/bg/ hair/long_center_part/adult/bg/
hair_long_messy,layer_1,120,hair/long_messy/adult/ hair/long_messy/adult/ hair/long_messy/adult/ hair/long_messy/adult/
hair_long_messy2,layer_1,120,hair/long_messy2/adult/ hair/long_messy2/adult/ hair/long_messy2/adult/ hair/long_messy2/adult/
hair_long_straight,layer_1,120,hair/long_straight/adult/ hair/long_straight/adult/ hair/long_straight/adult/ hair/long_straight/adult/
hair_long_tied,layer_1,120,hair/long_tied/adult/fg/ hair/long_tied/adult/fg/ hair/long_tied/adult/fg/ hair/long_tied/adult/fg/
hair_long_tied,layer_2,9,hair/long_tied/adult/bg/ hair/long_tied/adult/bg/ hair/long_tied/adult/bg/ hair/long_tied/adult/bg/
hair_longhawk,layer_1,120,hair/longhawk/adult/ hair/longhawk/adult/ hair/longhawk/adult/ hair/longhawk/adult/
hair_loose,layer_1,120,hair/loose/adult/ hair/loose/adult/ hair/loose/adult/ hair/loose/adult/
hair_messy,layer_1,120,hair/messy/child/
hair_messy1,layer_1,120,hair/messy1/adult/ hair/messy1/adult/ hair/messy1/adult/ hair/messy1/adult/
hair_messy2,layer_1,120,hair/messy2/adult/ hair/messy2/adult/ hair/messy2/adult/ hair/messy2/adult/
hair_messy3,layer_1,120,hair/messy3/adult/ hair/messy3/adult/ hair/messy3/adult/ hair/messy3/adult/
hair_mop,layer_1,120,hair/mop/adult/ hair/mop/adult/ hair/mop/adult/ hair/mop/adult/
hair_natural,layer_1,120,hair/natural/adult/ hair/natural/adult/ hair/natural/adult/ hair/natural/adult/
hair_page,layer_1,120,hair/page/adult/ hair/page/adult/ hair/page/adult/ hair/page/adult/
hair_page2,layer_1,120,hair/page2/adult/ hair/page2/adult/ hair/page2/adult/ hair/page2/adult/
hair_parted,layer_1,120,hair/parted/adult/ hair/parted/adult/ hair/parted/adult/ hair/parted/adult/
hair_parted2,layer_1,120,hair/parted2/adult/ hair/parted2/adult/ hair/parted2/adult/ hair/parted2/adult/
hair_parted3,layer_1,120,hair/parted3/adult/ hair/parted3/adult/ hair/parted3/adult/ hair/parted3/adult/
hair_parted_side_bangs,layer_1,120,hair/parted_side_bangs/adult/ hair/parted_side_bangs/adult/ hair/parted_side_bangs/adult/ hair/parted_side_bangs/adult hair/parted_side_bangs/child/
hair_parted_side_bangs2,layer_1,120,hair/parted_side_bangs2/adult/ hair/parted_side_bangs2/adult/ hair/parted_side_bangs2/adult/ hair/parted_side_bangs2/adult hair/parted_side_bangs2/child/
hair_pigtails,layer_1,120,hair/pigtails/adult/ hair/pigtails/adult/ hair/pigtails/adult/ hair/pigtails/adult/
hair_pigtails_bangs,layer_1,120,hair/pigtails_bangs/adult/ hair/pigtails_bangs/adult/ hair/pigtails_bangs/adult/ hair/pigtails_bangs/adult/
hair_pixie,layer_1,120,hair/pixie/adult/ hair/pixie/adult/ hair/pixie/adult/ hair/pixie/adult/
hair_plain,layer_1,120,hair/plain/adult/ hair/plain/adult/ hair/plain/adult/ hair/plain/adult/
